day,site,cpue
-2,bedrift,0.00
-1,bedrift,0.00
0,bedrift,0.00
1,bedrift,0.00
2,bedrift,2.07
3,bedrift,1.56
4,bedrift,9.29
5,bedrift,0.00
6,bedrift,7.60
7,bedrift,3.10
8,bedrift,0.00
9,bedrift,3.10
10,bedrift,3.08
11,bedrift,10.63
12,bedrift,23.70
13,bedrift,9.11
14,bedrift,21.00
15,bedrift,16.13
16,bedrift,20.34
17,bedrift,32.10
18,bedrift,30.19
19,bedrift,23.42
20,bedrift,46.93
21,bedrift,13.76
22,bedrift,12.23
23,bedrift,31.81
24,bedrift,4.62
25,bedrift,7.69
26,bedrift,30.00
27,bedrift,16.60
28,bedrift,15.18
