day,date,pccpue
-10,2016-05-21,0.4315304551621188
-9,2016-05-22,0.5276244481473552
-8,2016-05-23,0.6449782145938121
-7,2016-05-24,0.788226870643543
-6,2016-05-25,0.9629824652254433
-5,2016-05-26,1.176023372920702
-4,2016-05-27,1.4355122348945744
-3,2016-05-28,1.751242536082572
-2,2016-05-29,2.134911253692379
-1,2016-05-30,2.6004107877919047
0,2016-05-31,3.1641270064988714
1,2016-06-01,3.845221047009537
2,2016-06-02,4.665859878707286
3,2016-06-03,5.651344175466947
4,2016-06-04,6.830062031443418
5,2016-06-05,8.233175045272034
6,2016-06-06,9.893923013718506
7,2016-06-07,11.846421792473926
8,2016-06-08,14.1238365192054
9,2016-06-09,16.755853493854698
10,2016-06-10,19.76546336193407
11,2016-06-11,23.165214906608433
12,2016-06-12,26.953295912412212
13,2016-06-13,31.110011323369402
14,2016-06-14,35.59539298082663
15,2016-06-15,40.348701390664004
16,2016-06-16,45.29039108272833
17,2016-06-17,50.326689698794965
18,2016-06-18,55.35636774112482
19,2016-06-19,60.278724333383224
20,2016-06-20,65.00148530333635
21,2016-06-21,69.44733411925318
22,2016-06-22,73.55816384130111
23,2016-06-23,77.2967042960086
24,2016-06-24,80.6457404573514
25,2016-06-25,83.60553163170607
26,2016-06-26,86.19019936246877
27,2016-06-27,88.4238029345443
28,2016-06-28,90.3366461346751
29,2016-06-29,91.96214424792772
30,2016-06-30,93.33438840864494
31,2016-07-01,94.48640524798549
32,2016-07-02,95.44902739022739
33,2016-07-03,96.25025444455446
34,2016-07-04,96.91497973993258
35,2016-07-05,97.46497136626377
36,2016-07-06,97.91901690313153
37,2016-07-07,98.2931631223899
38,2016-07-08,98.60100155655508
39,2016-07-09,98.85396678554085
40,2016-07-10,99.06162645392354
41,2016-07-11,99.23195082055211
42,2016-07-12,99.37155570573883
43,2016-07-13,99.48591669168798
44,2016-07-14,99.57955491853664
45,2016-07-15,99.65619625694717
46,2016-07-16,99.7189063730545
47,2016-07-17,99.77020448239415
48,2016-07-18,99.81215859102689
49,2016-07-19,99.84646486309337
50,2016-07-20,99.8745135125506
